,FM6,FM14,FM44,FM55,FM62,FM63,FM65,FM72,FM73,FM106,FM130,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM506,FM589,FM594,FM608,FM610,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724
Streptococcus constellatus,0,0.01309,0.00558,0.0042,0,0,0.01791,0.09929,0,0,0.00271,0,0,0.00272,0.01304,0,0,0,0,0.00582,0,0.00332,0,0.03208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus cristatus,0.01196,0.0612,0.00128,0.00839,0.02875,0.04551,0.01573,0,0.0217,0.04993,0.02674,0,0,0,0.01419,0.02569,0.51871,0.13714,0.07279,0,0,0.00748,0,0,0,0.01031,0.015,0.07441,0,0.07816,0.03675,0,0.08453,0,0,0,0.12366,0.09727,0,0.06578
Streptococcus gordonii,0,0.03541,0,0,0,0,0,0,0.00197,0,0,0.21959,0,0.04127,0,0,0.13433,0.07753,0,0,0.03972,0,0,0,0,0.01702,0.02669,0,0,0.05685,0,0,0,0,0,0,0,0,0.00514,0
Streptococcus infantis,0.59433,0.71281,0.03568,0.38528,0.14581,0.21314,0.0742,0.0678,0.92294,1.93763,0.82146,0.70712,1.85809,0.32567,0.2437,0.88363,1.61471,0.72783,2.85307,0.28326,2.40527,0.2218,0.62746,0.4546,0.19027,0.09551,0.78018,0.65016,0.12511,0.19379,0.4945,0.74792,0.34962,0.62866,0.45356,0.30157,0.76752,0.48967,0.8108,1.52652
Streptococcus intermedius,0,0.00342,0,0.00434,0,0,0,0.0204,0,0,0,0,0.01873,0,0,0.10104,0.30318,0,0,0,0.09251,0,0.02305,0,0,0.01287,0,0,0,0,0.45723,0,0,0,0,0,0.01459,0,0,0
Streptococcus mitis oralis pneumoniae,0.09007,0.36998,0.10642,0.18556,4.69296,3.12567,0.1165,3.80195,1.19381,0.43017,3.74194,0,2.18505,2.12291,0.16891,0.0222,0.40146,0.31465,0.26256,2.06665,4.41862,0.23306,2.26773,0.31132,1.51687,1.1291,0.8293,1.88013,30.57851,2.17081,5.28772,0.21081,3.66559,0.20084,1.90731,0.15703,0.98107,11.24646,9.55049,11.5162
Streptococcus oligofermentans,0,0.00255,0,0.00378,0,0.01482,0.01752,0,0.02413,0.0245,0,0,0,0,0.00263,0.02539,0.04741,0.07512,0.10767,0,0,0.00696,0,0,0,0.01118,0.00094,0,0,0.08577,0,0,0,0.00789,0,0,0.06007,0.07486,0,0.12535
Streptococcus parasanguinis,1.54062,1.02085,0,0.00279,0.01357,0.21309,0,0,0.00094,0.14907,1.82843,1.51284,0.92959,0.00632,0.66906,0.55581,4.20565,0.14203,0.94379,0,0.00073,0,0.2813,0.18105,0.48892,0.19151,0.01573,0.98304,0,0,1.86822,0.00256,0.85805,0.00619,0,0.03276,1.71834,0.38966,1.58823,0.00522
Streptococcus peroris,0,0.05281,0.01227,0,0,0,0,0,0,0.07247,0.08099,0,0.0308,0.00912,0.01315,0,0,0,0,0.03531,0.01284,0,0.00469,0,0.03289,0.00902,0.00715,0,0,0.01182,0,0.04504,0,0.04156,0,0.0032,0.02164,0.09504,0.01113,0.05723
Streptococcus pseudopneumoniae,0.00144,0,0,0.0018,0,0,0,0,0.00384,0,0.18504,0,0,0,0,0,0,0,0,0.05527,0,0,0.01115,0,0,0.01407,0.00565,0,0.02178,0.0041,0,0.04608,0,0,0,0,0,0,0.07729,0
Streptococcus pyogenes,0,0,0.0259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus salivarius,0.28462,0.07196,0,0.06047,0.13563,0.03717,0,0,0.13203,0.19075,0.23026,2.393,1.65897,0.01326,0.59007,0.08796,1.42028,0,0.75294,0,0,0,0.24604,0.62865,0.8736,1.31998,0.01015,1.98447,0.17507,0.04098,2.74897,0.05945,0.56002,0.06899,0,0.05448,7.29752,0.5757,1.84604,0.15202
Streptococcus sanguinis,0.042,0.0365,0.17768,0.04199,0.06783,0.70208,0.0801,0.21015,0.31057,0.13038,0.47749,0,0.30881,0.12347,0.22347,2.6226,0.20261,0.42197,0.52807,0.06414,2.07177,0.06654,0.10382,0.20063,0.02057,0.02142,0.04302,1.07244,0.03086,2.10603,0.13306,0.0094,0.34167,0.50996,0.14101,0.03163,0.28858,1.39153,0.06795,0.77621
Streptococcus sp SK140,0,0.7855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus tigurinus,0,0.04296,0,0.03201,0.02742,0,0,0,0.08068,0,0.506,0,0.12461,0,0.01604,0,0,0,0.06774,0,0,0,0,0.01571,0,0,0.02342,0,0,0.00873,0.12424,0,0,0,0.01618,0,0.04845,0.0185,0,0
Streptococcus vestibularis,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0,0,0,0,0,0,0,0,0.02526,0,0,0,0,0,0,0.06139,0,0.14044,0,0,0,0,0,0,0
Tannerella forsythia,0.00356,0.00039,0.01292,0.03256,0,0.01804,0.02878,1.26284,0.07822,0.14486,0,0.08269,0.02081,0.01044,0.12799,0.63613,0.03875,0.25915,0,0,0.01153,0.0391,0.02444,0.0038,0.04202,0.07172,0.08124,0,0,0.00206,0.07295,0.14638,0.06083,0.0387,0,0.0711,0.00751,0.10134,0,0.12718
Thiomonas unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treponema denticola,0,0,0.05407,0.03259,0,0.005,0.00919,0.62338,0.08917,1.08795,0.0016,0,0.08184,0.0898,0.21698,0.31914,0.18534,0.17892,0,0.01115,0,0.02434,0.00494,0,0.01447,0.21958,0.02759,0.01711,0,0.07968,0.03372,0.21574,0.11166,0.05946,0.0005,0.10555,0.08662,0.0873,0,0.71146
Treponema lecithinolyticum,0,0.00238,0,0.00082,0,0,0.00089,0.2931,0,0.04636,0,0,0,0,0,0,0.11145,0.02919,0,0,0,0.00296,0.00231,0,0,0.00606,0.00051,0,0,0,0.03349,0,0,0.01983,0,0.00271,0.0178,0.06891,0,0
Treponema maltophilum,0,0,0,0,0,0.00273,0,0.05781,0,0.09812,0,0,0,0.01048,0.0013,0,0,0.00712,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0.00438
Treponema medium,0,0.00348,0.0226,0.00496,0,0.00059,0.02549,0.16294,0.0393,0.33294,0,0.00447,0.01672,0.04832,0.05937,0.03647,0.16425,0.03355,0.01137,0.07876,0,0.01533,0.0084,0.00372,0.00347,0.06635,0.02053,0.22217,0,0.01237,0.06468,0.03178,0,0.08964,0,0.03902,0.02788,0,0.00685,0.12839
Treponema socranskii,0,0.00313,0.02583,0.00271,0,0.00532,0.02,0.14733,0.0092,0.23368,0,0,0.00506,0.17323,0.018,0.01871,0.04448,0.05382,0,0,0,0.01013,0,0,0,0.0264,0,0.00831,0.03868,0.0018,0,0.00971,0,0.11489,0,0.02791,0.00636,0,0.0062,0.04421
Treponema vincentii,0,0,0.00617,0.00314,0,0,0.00497,0,0.02646,0.09091,0,0,0.01315,0.02005,0.01629,0.01108,0.01043,0.00856,0.005,0,0,0.00565,0,0,0,0.03784,0.02562,0.16514,0,0.00729,0.01214,0.02199,0,0.02641,0,0.02063,0.06215,0,0,0.09697
Veillonella atypica,3.10085,1.54549,1.50774,0.07272,1.14176,0.48895,0.47364,0.048,0.06154,0.10696,1.31501,5.66552,1.91286,1.04897,3.39379,0.02987,1.38857,0.8465,1.24263,0.00507,0.0196,0.02823,1.38183,1.79583,0.7112,0.51037,1.04662,0.57959,0.86001,0.02217,1.9943,0.17324,1.47575,0.27276,0,0.16797,5.07382,0.92648,0.62811,0.03178
Veillonella dispar,1.47336,0.97482,0.00868,0,0.2731,0.00773,0.02079,0.00357,0.01904,0.01099,1.2674,2.71015,2.09935,0.02558,3.31025,0.22269,0.16098,0.30202,0.75627,0.02096,0.00295,0.29757,2.02517,0.76626,0.97688,0.81433,0.03595,0.56747,0.93165,0,2.14468,0.01911,0.45275,0.01382,0.00473,0.02704,1.38399,1.43294,0.69969,0.00353
Veillonella parvula,1.8259,6.51306,0.05841,0.15009,1.71011,0.74153,0.15044,0.09361,0.27782,1.52727,0.53692,2.349,2.40031,0.6123,0.99283,0.07807,0.1991,2.85562,0.32479,0.05073,0.49586,0.88075,0.77629,0.60645,0.0363,1.27991,1.43906,0.34538,2.64546,0.13596,0.12144,0.10787,0.35648,0.03028,0.00533,0.02988,0.87045,0.57904,0.14499,0.11055
Veillonella sp oral taxon 780,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45747,0,0,0,0,0,0,0,4.42692,0,0
Veillonella unclassified,15.66518,10.89797,6.9781,21.92533,5.38556,6.08006,13.99281,6.50889,4.90374,13.90176,4.23959,16.14521,25.16391,14.73596,18.32003,2.15996,4.02953,20.83774,12.48043,3.22715,3.00504,12.38028,17.89819,14.12424,8.70164,14.48229,14.59749,12.78622,8.38055,0,15.40297,3.25685,5.9445,3.11116,0.54375,2.6537,15.62958,0,7.99896,3.26931
