,FM6,FM14,FM44,FM55,FM62,FM63,FM65,FM72,FM73,FM106,FM130,FM174,FM195,FM245,FM321,FM332,FM359,FM373,FM376,FM380,FM382,FM383,FM386,FM403,FM405,FM506,FM589,FM594,FM608,FM610,FHC633,FHC636,FHC644,FHC649,FHC659,FHC671,FHC680,FHC705,FHC712,FHC724
Capnocytophaga gingivalis,0.00776,0.02131,0.00206,0.38171,0.01531,0.08396,0.21141,0.14469,0.36102,0.21037,0,0,0,1.01209,0.01852,0.00328,0.16934,0.09091,0.03869,0.51711,0.23054,0.18661,0.20571,0.20501,0.03528,0.07401,0.27191,0,0.12596,3.51108,0.21875,0.3963,0,0.60934,0.31429,0.61591,0,0,0.03268,0.16146
Capnocytophaga granulosa,0,0.00999,0.0301,0.00332,0,0.30861,0.03841,0,0.06033,0.18712,0,0.15485,0,0.3221,0.02161,0,0.14938,0.01407,0,0,0.20594,0.00695,0,0,0.02758,0.06278,0.0145,0,0.30973,0.22185,0,0.17138,0,2.18922,0.02877,0.02633,0.03091,0,0.07756,0
Capnocytophaga ochracea,0,0.00198,0,0.00103,0.33932,0.05307,0,0,0.00409,0.03289,0,0,0,0.05728,0,0.00148,0.04158,0.07411,0.00291,0,0.03685,0.00129,0,0,0,0,0,0,0.03938,0.18989,0,0,0,0.01779,0.01093,0.02037,0,0,0.02952,0
Capnocytophaga sp oral taxon 329,0,0.09607,1.07392,0,0,0,0,0,0.71078,2.39164,0,0,0,0.4897,0,0,0,0,0,0,3.0481,0.33385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga unclassified,0.041,0.08311,2.48361,0,2.02947,2.72224,0.7898,0.20586,0.50629,1.17607,0.51849,0.85586,0.21558,5.59396,0.12435,0.86994,1.08907,1.79366,0.17088,0.42137,4.0966,0.05479,1.20942,0.84067,0.11794,0.25261,0.4562,0.19527,4.22782,4.7624,0.08498,2.1142,0,1.46716,1.04652,0.76821,0.10795,0.52122,0.85101,0.52795
Cardiobacterium hominis,0,0.03606,0,0.00474,0.50565,2.45033,0.01205,0,0.0057,0.13834,0,0,0,0.00379,0.00431,0,0.00602,0.01473,0.03776,0,0,0.01526,0,0,0.01505,0,0,0,0.036,1.61615,0,0,0,0.07798,0.14391,0.00193,0,0,0,0
Cardiobacterium valvarum,0,0,0,0,0.599,0.13125,0.00434,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85234,0,0,0,0,0,0,0,0.1348,0.17609,0,0,0,0,0,0,0,0,0,0
Catonella morbi,0,0,0,0.00022,0,0,0.00759,0.04501,0.0151,0.07867,0,0,0,0.00922,0.01836,0,0,0.04192,0.02084,0,0.00813,0.01047,0.00838,0,0,0.01501,0.05718,0,0,0.00106,0,0.01672,0,0.00265,0,0.01413,0,0,0.00834,0.03456
Caulobacter unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulobacter vibrioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01227,0
Centipeda periodontii,0,0,0,0,0,0.04544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0
Corynebacterium durum,0,0.01421,0,0.01777,2.14826,0.06214,0.00553,0,0,0,0,0,0,0,0.00516,0,0.20331,0,0.00969,0,1.65261,0,0.01386,0,0.07973,0,0.00528,0.1446,0,8.72307,0.24017,0.0453,0.05369,0.12091,0.00573,0,0,0,0.26282,0
Corynebacterium matruchotii,0.01056,0.08052,0.00664,0.02033,2.7147,1.45711,0.02883,0,0.07601,0.78794,0.23448,0.65327,0,0,0.11858,0.27547,1.26326,1.1627,2.04056,0,0,0.04566,0.03458,0.08136,0.37716,0.21094,0.05312,0.14831,0.04149,9.13322,0.47854,0.05101,0.22794,0.05469,0.02703,0.05564,0.2066,0.20866,3.05909,0.19134
Cryptobacterium curtum,0.38596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02365,0
Desulfobulbus sp oral taxon 041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00539,0,0,0,0,0,0
Dialister invisus,0.03405,0.79305,0,0.0349,0,0.12717,0.02818,0,0.07381,0.23802,0,0.22275,0,0.00514,0.05284,0,0.04433,0,0,0,0,0.03659,0,0,0,0.05055,0.08324,0,0,0.0044,0,0,0,0,0,0.01258,0,0,0.06884,0
Eikenella corrodens,0,0.01584,0.23989,0.00018,0.74158,2.11658,0.65796,0,0.07745,0.40483,0,0,0.04128,0.33121,0,0.03637,0,0.1056,0,0,0.61154,0.04881,0,0.01452,0,0.00178,0.03728,0.04158,1.44208,0.60856,0,0,0,0.00405,0.13999,0,0,0,0,0
Escherichia coli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01104,0,0,0,0,0,0,0,0.04842,0.13861
Escherichia unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11291,0.03486,0.04039,0.00829,0,0,0.00901,0.07862,0.03438,0,0,0,0,0,0.04755,0,0
Eubacteriaceae bacterium CM5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacteriaceae noname unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01205,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium brachy,0,0.00124,0.05602,0.00866,0,0,0.00579,0.19309,0.02518,0,0,0,0,0,0,0.25893,0.04494,0,0,0,0,0.00795,0.01667,0,0,0.00884,0,0,0,0,0,0.09054,0,0.01556,0,0,0,0,0,0.06032
Eubacterium infirmum,0.29687,0.17148,0,0.07041,0.06938,0.00795,0,0,0.04445,0.06649,0,0.1348,0.0536,0,0.0672,0,0.00549,0.10177,0.0164,0,0,0.0393,0.04259,0.20067,0.0154,0.10752,0.10023,0,0.03418,0,0.16958,0,0,0.01541,0,0.0509,0.49666,0,0.02442,0
Eubacterium saphenum,0,0,0,0.25,0,0.02128,0.01979,0,0.08989,0.12842,0,0,0.17272,0,0.14904,0,0,0,0,0,0,0.00735,0,0,0,0.16772,0.04792,0,0,0.00588,0.15969,0.21608,0,0.09136,0,0.01388,0.11252,0,0,0.17756
Eubacterium yurii,0,0,0,0,0,0,0.01185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filifactor alocis,0,0,0,0.06035,0,0.01289,0.04129,0.71094,0.10634,0.73183,0.037,0,0,0.07189,0.20205,0.1694,0.21534,0.10926,0.03385,0,0.00251,0.01776,0.01723,0,0,0.21377,0.17497,0.04317,0,0.00209,0.11356,0.15352,0.06706,0.05435,0,0.04569,0.02335,0.05216,0,0.20762
Fretibacterium fastidiosum,0,0,0.00066,0.01247,0,0,0.01433,0.35788,0.03045,0.01765,0,0,0,0,0.00557,0,0,0.01472,0,0,0,0.00469,0,0,0,0.01122,0.00764,0,0,0,0,0,0,0.01595,0,0,0,0,0,0.02303
Fusobacterium nucleatum,0.07077,0.07554,1.61709,0.11201,0.03492,0.0375,0.14923,1.97856,0.40472,0.21553,0.21166,0.53726,0.09226,0.91714,0.21434,0,1.0185,0.49677,0.19843,0.42652,0.34639,0.14541,0.2034,0.14465,0.12567,0.4233,0.34165,0.5449,0.17645,1.14512,0.66289,0.32024,0.16347,0.14016,0.06068,0.10597,0.11336,0.25849,0.24723,0.292
Fusobacterium periodonticum,1.58386,0.53032,0.13247,4.11564,0.05507,1.59445,4.99791,2.61263,1.4938,0.12045,0.26643,0.26596,0.03997,13.88397,0.76527,1.12469,0.40037,2.81029,1.07425,1.90673,1.9857,1.98637,2.55695,2.82751,2.19443,1.4313,3.32336,0.19642,1.38656,0.08213,0.53021,2.21341,0.19472,2.22669,0.75222,0.94649,0.45237,0.07669,1.8262,1.41043
Gemella haemolysans,0.04023,0.16371,0.01926,0.16521,3.62424,0.05898,0.01146,3.97657,0.29445,0.25772,10.23508,0,0,1.32647,0.00334,0,0,0.05833,0.03993,4.22147,1.90715,0.07195,0.40422,0.07984,0.24074,0.20539,0.02403,0.68288,0,1.96131,0.28546,2.98886,0.02016,0.24384,0.29408,0.06175,0.26662,8.05173,0.77554,1.9896
Gemella morbillorum,0.00411,0.12146,0,0.04188,0,0,0.16042,0.00638,0.08028,0,0,0,0,1.97607,0,0,0.10759,0,0.19057,0.80717,0.11216,0.05496,0,0.02176,0,0.0827,0.09097,0.36231,0,0.08644,0.08381,0.1296,0,0.02349,0.01233,0,0.01428,0.10927,0.09302,0.00922
Gemella sanguinis,0.093,0.07054,0.37678,0.42996,0,0.30484,0.13356,0.15385,0.05609,0.25038,0.03822,0.33991,0,0.10772,0,0.4463,2.78872,0,0.24826,0,4.4287,0.10974,0.04436,0.50369,0.18919,0.1041,0.08301,0.1158,0.08909,0.01095,0.11985,0.45336,0,0.05379,0.01686,0.10433,0.06373,0.14332,1.13916,1.35631
Gemella unclassified,0,0,0,0,0,0,0,0.34662,0.00081,0.00773,0,0,0,0,0.01604,0,0,0.00094,0,1.47909,0,0,0.05043,0.04497,0.08788,0.03663,0,0,0.05042,0,0.02206,0.9121,0.11196,0.01291,0.0138,0.00158,0,2.04835,0,0
Geobacillus kaustophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geobacillus unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granulicatella adiacens,0.59802,0.14557,0.57944,0.05793,0.19346,0.56144,0.05928,0.06547,0.16602,1.58714,0.26627,0.03479,0.30333,0.21108,0.03654,0.25008,0.84329,0.55422,0.17355,0.14626,1.04943,0.11721,0.18413,0.11975,0.198,0.05895,0.25777,0.03628,0.40933,0.11312,0.26362,0.3101,0.32383,0.05218,0.12442,0.15686,0.30341,0.40675,0.35862,0.61352
Granulicatella elegans,0.00746,0.02226,0,0.07671,0.60106,0,0,1.18085,0.23198,0.06679,6.56762,0,0,0.05487,0,0,0,0,0,10.77068,0.63794,0.0785,0,0,0,0.24676,0.06708,0.04318,0,1.99945,0,0.01542,0,0.01096,0.11014,0.0091,0,5.75564,0.08416,2.33766
